"","logFC","logCPM","F","PValue","FDR"
"RTKN",0.811232075545323,3.34393551152689,0.548623672852942,0.458901938936073,1
"PPP1R11",0.847763742041074,3.19725367113229,0.548485832669621,0.458958382491538,1
"TMEM245",0.569042723142893,4.35549390690406,0.548024978233557,0.459147140384657,1
"DNTTIP2",0.497989285525058,4.41282841732003,0.547342316922707,0.459426979989265,1
"DKK1",0.983438763952141,3.06810942413386,0.546894388822307,0.459610738207718,1
"VCPIP1",0.847046154889949,3.41794379789158,0.546771788204517,0.459661041444255,1
"EGLN1",0.847941955260729,3.41298759669271,0.54660637616675,0.459728942486222,1
"METTL9",0.703407239272919,3.32209391934959,0.546427530152167,0.459802381266395,1
"PDGFC",0.804422621995672,3.66507420553504,0.546135966224706,0.459922126700231,1
"C3orf38",0.767665805347934,3.42093842219256,0.545194128902197,0.460309318023574,1
"MKNK2",-0.49226870423461,4.50177339511405,0.544488467859457,0.460599746059362,1
"HUWE1",0.399793157224915,5.78753530938147,0.544107913051478,0.460756497111054,1
"CYR61",0.527239212387161,4.47443358595103,0.543920924627974,0.460833534849828,1
"DCAF8",0.74729610888749,3.23998533326402,0.543748663271919,0.46090452844551,1
"PRKAR1A",-0.511721744910129,4.27271738448814,0.543567663246861,0.460979154292273,1
"CCDC85C",-0.594984265688593,3.3049737262808,0.543503223859537,0.461005724531251,1
"PLEKHA6",0.792690517124011,3.30948145515395,0.543238307988831,0.461114980018788,1
"LARP4",-0.688224826619195,3.64430089625447,0.542910562785134,0.461250194776492,1
"SLC1A1",0.687488064103284,3.69388250779167,0.542899549587389,0.4612547463728,1
"KLF6",-0.516125749885118,4.52103713297489,0.542507975874579,0.461416403598492,1
"COG5",0.68633935578564,3.16116228485367,0.54223067899933,0.461530924924072,1
"PRKCA",0.69179793274365,3.68444095609223,0.541969237675942,0.461638942535188,1
"STX4",-0.843130617182608,3.16150659638789,0.541760431380206,0.461725240727527,1
"DUS2",0.730806396234255,3.32387414516824,0.541582506774454,0.461798806500756,1
"CPEB3",-0.591211280212514,3.34849484963326,0.541442251474687,0.461856810089358,1
"NOTCH2",0.432929540133257,4.93583434790371,0.541386797774551,0.461879750521318,1
"ADPGK",-0.591124761827844,3.32708180866465,0.541361394444924,0.461890251206416,1
"CSNK1A1",-0.392975255386044,5.45906482669606,0.540823415368441,0.462112856947561,1
"C6orf89",-0.719540097018306,3.71993188228752,0.540250817404651,0.462349947684003,1
"PDS5A",0.598180795755268,4.02284342281996,0.53964617417964,0.462600532922813,1
"ADRBK1",0.831127695967749,3.33578350276456,0.538480300648451,0.463084325068878,1
"MUC20",0.831127695967749,3.33578350276456,0.538480300648451,0.463084325068878,1
"SPRED1",0.682610287647259,3.1507791641209,0.537920280783123,0.463317008896587,1
"TXN",-0.610085708857629,3.93361655046028,0.537891147478038,0.463329116325041,1
"VIM",0.484805386182039,4.60218254025306,0.537216823874614,0.463609548392751,1
"PTPRH",0.736643204797133,3.23883164319248,0.536978065590213,0.463708896388285,1
"SLBP",0.567876506498192,4.11145852298083,0.536562971282377,0.46388170956819,1
"MIF4GD",-0.931763857817303,3.15112671899753,0.53631858121929,0.463983499844364,1
"IDH1",0.469089001764545,4.90915317399393,0.53599657300695,0.464117691411944,1
"EHD1",0.649489092348459,3.84356409200096,0.535955106781789,0.464134968417745,1
"SPOCK1",0.832449238032041,3.07036537493474,0.535934478862387,0.464143571504284,1
"FIBP",0.830704305572097,3.42927070852942,0.535095163052324,0.464493617652296,1
