"","logFC","logCPM","F","PValue","FDR"
"KLHL5",-3.52931714542691,3.95586028068525,10.8810941176116,0.000975677027688172,0.423619771775758
"PEG10",3.0182079190312,4.77934324626468,10.7448583347326,0.00105007912203527,0.448570089469424
"MIR663A",-3.6611544652447,3.7375767263542,10.6882650640839,0.00108264762061453,0.455141622729776
"PHLDA1",-3.48107823649001,3.99082473941159,10.6253046667664,0.00112008622271357,0.46352318138389
"CSE1L",2.48152573925034,4.68413077277021,10.5300954723682,0.0011792025231178,0.480479674227308
"HIST1H3F",2.618169764094,4.33722403080555,10.2668494307838,0.00135963642669411,0.540134792305665
"SNORD115-41",3.59719501532052,3.69537158664421,10.2576892835844,0.00136639724691257,0.540134792305665
"HSPA1A",-3.49654521193195,4.06009356829477,10.1674195697888,0.00143485212209794,0.558853800790644
"HIST1H2AM",3.6962103518436,4.00977358107259,10.10194863324,0.00148666596520339,0.570642725919013
"C6orf223",-3.78414546052653,3.50388260446226,10.0621890027419,0.00151905275859751,0.574744461592216
"CREBBP",2.07113195050219,4.84515163076504,9.8880602535163,0.00166952582125099,0.622780160222991
"NETO2",4.16057535701905,3.47941519064108,9.84702364715503,0.0017071390877386,0.627966371371622
"ZNF436-AS1",-1.5025086374414,10.627403780291,9.78920366949829,0.00176159190218767,0.639120020951238
"CCDC117",4.20330680820886,3.67838538214676,9.71431288890895,0.00183474921385265,0.656666661201181
"C12orf57",2.10690604996971,5.13316851150751,9.64849283655117,0.00190158113843487,0.658585142744975
"EIF2S1",3.54268101640337,3.89026666923531,9.63681418507893,0.00191369727773286,0.658585142744975
"SNORD115-16",3.66597837823675,3.81753218475201,9.63584328481079,0.00191470855168446,0.658585142744975
"DUSP4",-3.24960506181602,4.17133675104094,9.61056319717466,0.00194121603149438,0.659142392232418
"CENPE",3.56547457941666,3.71737214976387,9.51912209726766,0.00204023665838124,0.674652224008776
"MIR181A1",-1.55219236231797,6.77046609818796,9.51038628963107,0.00204996174389611,0.674652224008776
"SNORD85",-1.47240948522392,8.23768490221856,9.49846068175223,0.00206331244646822,0.674652224008776
"WSB2",2.87817390161437,3.9146510503047,9.47433496046357,0.00209058799935599,0.675234428816381
"SNORD14C",-1.4595403764221,9.64155292633781,9.42366563010463,0.00214908091316816,0.685763951629624
